year,category,month,bidding,price,quota,bids
2022,b,april,2,90002,560,687
2022,b,april,1,98389,550,708
2022,b,march,2,98889,555,824
2022,b,march,1,94889,551,860
2022,b,february,2,93590,559,939
2022,b,february,1,86102,550,865
2022,b,january,2,82001,592,907
2022,b,january,1,77700,587,712
2022,c,december,2,78200,69,147
2022,c,december,1,81501,69,118
2022,c,november,2,81802,73,122
2022,c,november,1,76302,70,147
2022,c,october,2,70201,91,297
2022,c,october,1,65991,84,148
2022,c,september,2,67001,83,157
2022,c,september,1,64989,85,179
2022,c,august,2,59090,87,196
2022,c,august,1,56089,95,168
2022,c,july,2,54889,102,174
2022,c,july,1,54001,102,160
2022,c,june,2,53011,103,224
2022,c,june,1,53002,107,203
2022,c,may,2,51501,103,220
2022,c,may,1,50890,104,184
2022,c,april,2,52002,76,181
2022,c,april,1,54901,85,210
2022,c,march,2,51504,91,166
2022,c,march,1,48889,76,199
2022,c,february,2,46501,76,194
2022,c,february,1,44001,80,149
2022,c,january,2,43001,91,149
2022,c,january,1,42200,90,198
2022,e,december,2,109600,146,273
2022,e,december,1,110524,149,266
2022,e,november,2,114009,150,242
2022,e,november,1,116577,146,283
2022,e,october,2,108003,164,285
2022,e,october,1,105001,179,232
2022,e,september,2,107201,176,297
2022,e,september,1,113299,165,260
2022,e,august,2,112001,163,273
2022,e,august,1,113000,167,293
2022,e,july,2,114001,194,317
2022,e,july,1,110524,195,340
2022,e,june,2,104400,194,276
2022,e,june,1,100697,190,316
2022,e,may,2,95901,191,309
2022,e,may,1,91112,195,283
2022,e,april,2,95801,184,295
2022,e,april,1,99999,180,290
2022,e,march,2,99010,180,344
2022,e,march,1,98890,190,318
2022,e,february,2,93102,180,300
2022,e,february,1,87000,180,269
2022,e,january,2,83911,145,226
2022,e,january,1,82501,149,193
2021,a,december,2,58801,534,740
2021,a,december,1,57010,536,771
2021,a,november,2,55001,537,706
2021,a,november,1,53709,536,834
2021,a,october,2,52709,811,1304
2021,a,october,1,47001,816,1077
2021,a,september,2,48000,803,1040
2021,a,september,1,47000,804,1124
2021,a,august,2,46689,806,1127
2021,a,august,1,45189,805,1021
2021,a,july,2,47010,836,1240
2021,a,july,1,45001,867,1149
2021,a,june,2,47821,830,1178
2021,a,june,1,48510,858,1439
2021,a,may,2,41801,835,1209
2021,a,may,1,48002,832,1100
2021,a,april,2,49640,890,1290
2021,a,april,1,45600,883,1212
2021,a,march,2,44589,886,1186
2021,a,march,1,41996,887,1175
2021,a,february,2,41001,903,1226
2021,a,february,1,42000,885,1098
2021,a,january,2,43501,966,1309
2021,a,january,1,40609,963,1280
2021,b,december,2,80989,595,829
2021,b,december,1,80401,593,822
2021,b,november,2,79601,594,797
2021,b,november,1,82801,587,839
2021,b,october,2,80210,774,1240
2021,b,october,1,70200,774,1130
2021,b,september,2,68310,772,1189
2021,b,september,1,62600,791,1080
2021,b,august,2,61001,794,1065
2021,b,august,1,56001,771,980
2021,b,july,2,59501,819,1107
2021,b,july,1,56100,840,1087
2021,b,june,2,56032,809,983
2021,b,june,1,60109,815,1107
2021,b,may,2,58089,817,1089
2021,b,may,1,60001,819,1244
2021,b,april,2,61190,956,1585
2021,b,april,1,52309,958,1524
2021,b,march,2,47001,946,1222
2021,b,march,1,45001,942,1121
2021,b,february,2,46002,942,1168
2021,b,february,1,46790,943,1107
2021,b,january,2,50100,1018,1338
2021,b,january,1,49001,1023,1396
2021,c,december,2,44000,90,150
2021,c,december,1,45000,93,147
2021,c,november,2,43502,91,164
2021,c,november,1,42001,92,173
2021,c,october,2,40501,126,252
2021,c,october,1,38890,125,233
2021,c,september,2,39000,120,203
2021,c,september,1,40001,122,211
2021,c,august,2,40010,118,220
2021,c,august,1,42589,118,233
2021,c,july,2,39523,166,337
2021,c,july,1,38900,162,340
2021,c,june,2,37000,238,478
2021,c,june,1,37002,195,413
2021,c,may,2,41701,164,315
2021,c,may,1,43001,157,261
2021,c,april,2,44001,262,441
2021,c,april,1,36134,263,488
2021,c,march,2,39589,292,507
2021,c,march,1,37513,255,480
2021,c,february,2,40890,259,424
2021,c,february,1,45001,276,510
2021,c,january,2,40999,381,671
2021,c,january,1,35900,372,679
2021,e,december,2,83889,177,241
2021,e,december,1,85000,149,245
2021,e,november,2,86001,164,253
2021,e,november,1,88000,159,257
2021,e,october,2,85000,210,391
2021,e,october,1,72756,214,442
2021,e,september,2,70002,198,400
2021,e,september,1,64700,206,319
2021,e,august,2,64901,198,408
2021,e,august,1,59599,199,288
2021,e,july,2,60001,267,408
2021,e,july,1,57700,259,416
2021,e,june,2,58001,265,519
2021,e,june,1,61112,259,331
2021,e,may,2,62000,266,400
2021,e,may,1,63002,268,387
2021,e,april,2,62100,303,633
2021,e,april,1,52200,296,635
2021,e,march,2,47806,298,430
2021,e,march,1,47001,296,450
2021,e,february,2,47506,304,503
2021,e,february,1,49778,300,435
2021,e,january,2,51900,466,705
2021,e,january,1,49489,467,758
